State Name,State Rating,State URL
APSRTC,3.85,https://www.redbus.in/online-booking/wbtc-ctc/?utm_source=rtchometile
KERALA RTC,3.85,https://www.redbus.in/online-booking/wbtc-ctc/?utm_source=rtchometile
TSRTC,3.71,https://www.redbus.in/online-booking/wbtc-ctc/?utm_source=rtchometile
KTCL,3.83,https://www.redbus.in/online-booking/wbtc-ctc/?utm_source=rtchometile
RSRTC,3.71,https://www.redbus.in/online-booking/wbtc-ctc/?utm_source=rtchometile
SBSTC,3.95,https://www.redbus.in/online-booking/wbtc-ctc/?utm_source=rtchometile
HRTC,3.98,https://www.redbus.in/online-booking/wbtc-ctc/?utm_source=rtchometile
ASTC,4.02,https://www.redbus.in/online-booking/wbtc-ctc/?utm_source=rtchometile
UPSRTC,3.94,https://www.redbus.in/online-booking/wbtc-ctc/?utm_source=rtchometile
WBTC,3.96,https://www.redbus.in/online-booking/wbtc-ctc/?utm_source=rtchometile
CTU RTC,3.85,https://www.redbus.in/online-booking/wbtc-ctc/?utm_source=rtchometile
PEPSU,3.83,https://www.redbus.in/online-booking/wbtc-ctc/?utm_source=rtchometile
NBSTC,3.93,https://www.redbus.in/online-booking/wbtc-ctc/?utm_source=rtchometile
BSRTC,3.91,https://www.redbus.in/online-booking/wbtc-ctc/?utm_source=rtchometile
KAAC Transport,3.71,https://www.redbus.in/online-booking/wbtc-ctc/?utm_source=rtchometile
WBSTC,3.98,https://www.redbus.in/online-booking/wbtc-ctc/?utm_source=rtchometile
JKSRTC,3.85,https://www.redbus.in/online-booking/wbtc-ctc/?utm_source=rtchometile
